id,nameKa,nameEn,descriptionKa,descriptionEn,categoryId,imageUrl,imageKey,isRose,isAvailable,featured,createdAt,updatedAt,priceMin,priceMax,priceOnRequest,unitType,variants,bloomsPerStemMin,bloomsPerStemMax,stemDisplayRule,published
510007,ვარდისფერი სიყვარული,pink love,,,180001,/manus-storage/products/img_8313_091e54b2.webp,,0,1,0,2026-06-28 19:05:58,2026-07-16 16:07:23,250.00,250.00,0,single stem,[],1,1,1 large rose bloom,1
510008,პალიტრა,Palette,,,180001,/manus-storage/products/img_8314_e0595a7e.webp,,0,1,0,2026-06-28 19:07:22,2026-07-16 16:07:35,280.00,280.00,0,single stem,[],1,1,,1
510009,სიყვარული,Love,,,180001,/manus-storage/products/img_8315_e0473257.webp,,0,1,0,2026-06-28 19:08:15,2026-07-16 16:07:47,400.00,400.00,0,single stem,[],1,1,,1
510010,შენთვის,baby pink,,,180001,/manus-storage/products/img_8316_dd090461.webp,,0,1,0,2026-06-28 19:09:26,2026-07-16 16:08:00,80.00,80.00,0,single stem,[],1,1,,1
510011,მზის კოცნა,sun kiss,,,180001,/manus-storage/products/img_8318_785743d7.webp,,0,0,0,2026-06-28 19:10:57,2026-07-17 13:49:03,150.00,150.00,0,single stem,[],1,1,,1
510012,ქრიზანთემები,just for you,,,180001,/manus-storage/products/img_8319_84b22e68.webp,,0,1,0,2026-06-28 19:12:06,2026-07-16 16:08:25,400.00,400.00,0,single stem,[],1,1,,1
510013,პაემანი ,pink roses,,,180001,/manus-storage/products/img_8320_94683221.webp,,0,1,0,2026-06-28 19:13:10,2026-07-16 16:08:35,450.00,450.00,0,single stem,[],1,1,,1
510014,ცეცხლი,Fire,,,180001,/manus-storage/products/img_8321_b0ca16ab.webp,,0,1,0,2026-06-28 19:14:30,2026-07-16 16:09:03,600.00,600.00,0,single stem,[],1,1,,1
510015,უმიზეზოდ,simple,,,180001,/manus-storage/products/img_8322_f03b0deb.webp,,0,1,0,2026-06-28 19:15:30,2026-07-16 16:09:16,70.00,70.00,0,single stem,[],1,1,,1
510016,ყვითელი,Yellow,,,180001,/manus-storage/products/img_8323_fdadf2f7.webp,,0,0,0,2026-06-28 19:16:39,2026-07-17 13:49:08,105.00,105.00,0,single stem,[],1,1,,1
510017,ვარდისფერები,pink flower,,,180001,/manus-storage/products/img_8324_43c05735.webp,,0,1,0,2026-06-28 19:17:38,2026-07-16 16:09:38,85.00,85.00,0,single stem,[],1,1,1 large rose bloom,1
510018,ვარდები,Mix,,,180001,/manus-storage/products/img_8325_fffed1c4.webp,,0,1,0,2026-06-28 19:18:34,2026-07-16 16:09:49,150.00,150.00,0,single stem,[],1,1,,1
510019,წითელი ,Red love,,,180001,/manus-storage/products/img_8326_3e54696c.webp,,0,1,0,2026-06-28 19:19:17,2026-07-16 16:09:59,350.00,350.00,0,single stem,[],1,1,,1
510020,ყოველდღიური,Baby pink,,,180001,/manus-storage/products/img_8327_93f85d5e.webp,,0,1,0,2026-06-28 19:20:05,2026-07-16 16:10:22,60.00,60.00,0,single stem,[],1,1,,1
510021,მხოლოდ შენთვის,Just For you,,,180001,/manus-storage/products/img_8328_4e1b223b.webp,,0,1,1,2026-06-28 19:20:46,2026-07-16 16:10:35,200.00,200.00,0,single stem,[],1,1,,1
510022,ალუბალი,Cherry,,,180001,/manus-storage/products/img_8329_b1564015.webp,,0,1,0,2026-06-28 19:21:58,2026-07-16 16:10:45,120.00,120.00,0,single stem,[],1,1,,1
510023,მზესუმზირა,Sunflower,,,180001,/manus-storage/products/img_8330_8fa95d79.webp,,0,0,0,2026-06-28 19:23:00,2026-07-17 13:49:13,130.00,130.00,0,single stem,[],1,1,1 sunflower bloom,1
510024,გარგრის ელფერი ,Apricot Glow,,,180001,/manus-storage/products/img_8331_13ccdb05.webp,,0,0,0,2026-06-28 19:24:30,2026-07-17 13:49:15,135.00,135.00,0,single stem,[],1,1,,1
540001,სიყვარულის ბაღი ,Garden of Love,,,180001,/manus-storage/products/img_8332_629d2bec.webp,,0,1,0,2026-06-28 19:27:54,2026-07-16 16:11:19,170.00,170.00,0,single stem,[],1,1,,1
540002,გულისცემა,Heartbeat,,,180001,/manus-storage/products/img_8333_be53acf1.webp,,0,1,0,2026-06-28 19:29:27,2026-07-16 16:11:30,250.00,250.00,0,single stem,[],1,1,,1
540003,შენთვის,You,"თაიგული და დათუნია( დათუნია იცვლება  იგივე ზომის სხვა მოდელში, მარაგების მიხედვით)",,180001,/manus-storage/products/img_8334_a9763ab9.webp,,0,1,0,2026-06-28 19:31:21,2026-07-16 16:11:59,650.00,650.00,0,single stem,[],1,1,,1
540004,გაიღიმე,Slime,,,180001,/manus-storage/products/img_8335_95f0979c.webp,,0,1,0,2026-06-28 19:33:10,2026-07-16 16:12:12,400.00,400.00,0,single stem,[],1,1,,1
540005,პუდრისფერი ოცნება ," Blush Dream",,,180001,/manus-storage/products/img_8336_ce74cf03.webp,,0,1,0,2026-06-28 19:34:50,2026-07-16 16:12:24,500.00,500.00,0,single stem,[],1,1,,1
540006,ნაზი გაზაფხული ,Soft Spring,,,180001,/manus-storage/products/img_8337_e0532a84.webp,,0,1,0,2026-06-28 19:36:23,2026-07-16 16:12:38,300.00,300.00,0,single stem,[],1,1,,1
540007,პიტნა,Mint 🌿,,,180001,/manus-storage/products/img_8338_172c80b2.webp,,0,1,0,2026-06-28 19:37:46,2026-07-16 16:12:49,90.00,90.00,0,single stem,[],1,1,,1
540008,ბაღი,Garden,,,180001,/manus-storage/products/img_8339_f509ec65.webp,,0,1,0,2026-06-28 19:38:22,2026-07-16 16:36:00,115.00,115.00,0,single stem,[],1,1,,1
540009,მიყვარხარ,Love!,"დათუნია  იცვლება იდენტურ ზომაში, არსებული მოდელით , რომელიც მარაგშია.",,180001,/manus-storage/products/img_8340_572f884f.webp,,0,1,0,2026-06-28 19:40:01,2026-07-16 16:13:26,850.00,850.00,0,single stem,[],1,1,,1
540010,ატმის კრემი ," Peach Cream",,,180001,/manus-storage/products/img_8341_e7068fef.webp,,0,1,0,2026-06-28 19:40:38,2026-07-16 16:13:37,250.00,250.00,0,single stem,[],1,1,,1
540011,ნაყინი,pink Ice Cream ,,,180001,/manus-storage/products/img_8343_62300c7e.webp,,0,1,0,2026-06-28 19:42:15,2026-07-16 16:13:46,190.00,190.00,0,single stem,[],1,1,,1
540012,🧸,🧸,"დათუნია იცვლება იდენტური ზომის იმ მოდელში, რომელიც მარაგშია.",,180001,/manus-storage/products/img_8344_a19ff2ea.webp,,0,1,1,2026-06-28 19:43:37,2026-07-16 16:13:58,380.00,380.00,0,single stem,[],1,1,,1
540013,ვარდისფერი განწყობა ,Blush Mood,,,180001,/manus-storage/products/img_8345_96492d40.webp,,0,1,0,2026-06-28 19:45:21,2026-07-16 16:14:08,100.00,100.00,0,single stem,[],1,1,1 large rose bloom,1
540014,ვარდისფერი ვალსი,Pink Waltz,,,180001,/manus-storage/products/img_8346_0f4f4685.webp,,0,1,0,2026-06-28 19:47:02,2026-07-16 16:14:22,600.00,600.00,0,single stem,[],1,1,1 large rose bloom,1
